id,shift_id,employee_id,approval_status,approved_at,notes
117,117,33,approved,2026-01-16T07:46:04.059Z,Excellent performance
118,118,34,pending,,
119,119,35,approved,2026-01-15T19:46:16.713Z,Excellent performance
120,120,36,approved,2026-01-14T06:14:42.730Z,Excellent performance
121,121,37,approved,2026-01-14T08:56:38.975Z,
122,122,38,pending,,
123,123,39,approved,2026-01-14T07:44:06.856Z,
124,124,40,approved,2026-01-15T00:39:02.465Z,
125,125,41,approved,2026-01-13T17:35:23.969Z,
126,126,42,approved,2026-01-14T08:50:24.654Z,
127,127,43,approved,2026-01-14T12:46:11.872Z,
128,128,44,approved,2026-01-15T01:01:40.369Z,Standard approval
129,129,45,approved,2026-01-16T09:14:34.983Z,
130,130,46,approved,2026-01-12T11:52:52.000Z,Approved by manager
131,131,47,rejected,2026-01-15T07:26:06.819Z,Did not complete full shift
132,132,48,approved,2026-01-13T18:51:28.219Z,Excellent performance
133,133,49,approved,2026-01-12T22:06:04.850Z,Approved by manager
134,134,50,approved,2026-01-11T22:35:18.803Z,Standard approval
135,135,51,approved,2026-01-12T21:30:06.554Z,
136,136,52,approved,2026-01-16T06:44:57.642Z,Approved by manager
137,137,53,approved,2026-01-13T21:53:23.137Z,Standard approval
138,138,55,approved,2026-01-13T11:18:32.292Z,
139,139,56,approved,2026-01-13T11:03:44.137Z,
140,140,57,approved,2026-01-14T01:02:17.438Z,Standard approval
141,141,58,approved,2026-01-14T01:39:10.213Z,Late arrival noted
142,142,59,approved,2026-01-15T03:05:00.695Z,Late arrival noted
143,143,60,rejected,2026-01-15T07:07:59.090Z,Did not complete full shift
144,144,61,pending,,
145,145,62,approved,2026-01-12T07:03:04.063Z,Late arrival noted
146,146,64,approved,2026-01-12T13:04:00.612Z,Late arrival noted
147,147,65,rejected,2026-01-13T22:36:42.723Z,Did not complete full shift
148,148,66,approved,2026-01-14T14:52:28.404Z,
149,149,67,approved,2026-01-15T15:30:19.671Z,Excellent performance
150,150,68,approved,2026-01-15T15:26:59.412Z,Late arrival noted
151,151,69,approved,2026-01-14T09:01:13.761Z,Excellent performance
152,152,70,approved,2026-01-14T08:14:51.062Z,Approved by manager
153,153,71,approved,2026-01-14T11:06:46.136Z,Late arrival noted
154,154,72,approved,2026-01-16T15:42:21.107Z,Standard approval
155,155,73,approved,2026-01-15T02:27:51.782Z,Standard approval
156,156,74,approved,2026-01-15T06:45:59.566Z,Approved by manager
157,157,75,rejected,2026-01-15T15:09:57.714Z,Did not complete full shift
158,158,77,approved,2026-01-11T19:05:35.545Z,Standard approval
159,159,78,approved,2026-01-12T07:35:36.239Z,Late arrival noted
160,160,79,approved,2026-01-12T13:05:20.912Z,Standard approval
161,161,80,approved,2026-01-13T17:02:19.828Z,Standard approval
162,162,81,approved,2026-01-16T13:31:50.529Z,Excellent performance
163,163,82,pending,,
164,164,83,approved,2026-01-16T00:46:39.796Z,Late arrival noted
165,165,84,pending,,
166,166,85,approved,2026-01-16T09:47:49.561Z,Approved by manager
167,167,86,approved,2026-01-13T06:53:30.414Z,Approved by manager
168,168,87,approved,2026-01-13T12:46:57.775Z,Excellent performance
169,169,89,approved,2026-01-14T21:09:54.895Z,
170,170,90,approved,2026-01-13T02:18:34.445Z,Standard approval
171,171,91,rejected,2026-01-16T05:18:30.851Z,Did not complete full shift
172,172,92,approved,2026-01-16T03:57:28.446Z,Approved by manager
173,173,93,rejected,2026-01-14T11:42:07.968Z,Did not complete full shift
174,174,94,approved,2026-01-13T07:37:05.891Z,Standard approval
175,175,95,approved,2026-01-15T14:37:27.489Z,
176,176,96,approved,2026-01-12T01:00:39.785Z,Excellent performance
177,177,97,approved,2026-01-16T07:34:18.100Z,Approved by manager
178,178,98,rejected,2026-01-15T01:33:10.808Z,Did not complete full shift
179,179,99,approved,2026-01-14T06:59:53.524Z,Late arrival noted
180,180,100,approved,2026-01-16T13:01:46.276Z,Approved by manager
181,181,101,approved,2026-01-14T21:18:30.832Z,Standard approval
182,182,102,approved,2026-01-13T01:17:11.601Z,
183,183,103,approved,2026-01-16T13:25:50.816Z,Approved by manager
184,184,104,approved,2026-01-11T21:36:21.899Z,Late arrival noted
185,185,105,pending,,
186,186,106,approved,2026-01-16T17:47:56.281Z,Approved by manager
187,187,107,approved,2026-01-13T03:23:12.568Z,Late arrival noted
188,188,108,approved,2026-01-14T17:49:26.012Z,
189,189,7,approved,2026-01-13T18:36:22.131Z,Late arrival noted
190,190,8,approved,2026-01-12T03:22:36.171Z,Late arrival noted
191,191,9,pending,,
192,192,10,pending,,
193,193,11,approved,2026-01-15T21:19:21.958Z,Excellent performance
194,194,14,approved,2026-01-14T00:39:52.432Z,Late arrival noted
195,195,16,approved,2026-01-13T23:49:17.681Z,
196,196,17,approved,2026-01-14T11:18:28.450Z,Excellent performance
197,197,18,approved,2026-01-12T09:11:45.478Z,Standard approval
198,198,20,rejected,2026-01-14T01:58:07.587Z,Did not complete full shift
199,199,21,approved,2026-01-16T01:39:15.110Z,Late arrival noted
200,200,22,approved,2026-01-15T05:23:09.195Z,Late arrival noted
201,201,23,approved,2026-01-12T07:33:48.510Z,
202,202,24,approved,2026-01-12T17:27:03.781Z,Standard approval
203,203,25,approved,2026-01-15T12:56:57.871Z,Late arrival noted
204,204,26,approved,2026-01-12T03:22:36.457Z,
205,205,27,approved,2026-01-14T03:37:11.763Z,Approved by manager
206,206,28,approved,2026-01-14T08:39:57.653Z,
207,207,29,pending,,
208,208,30,approved,2026-01-14T16:00:16.028Z,
209,209,31,approved,2026-01-11T22:50:58.143Z,Standard approval
210,210,32,approved,2026-01-12T08:49:35.181Z,Approved by manager
211,211,33,approved,2026-01-16T17:51:09.953Z,
212,212,34,approved,2026-01-12T15:42:03.829Z,
213,213,35,approved,2026-01-14T04:45:42.094Z,Approved by manager
214,214,36,pending,,
215,215,37,rejected,2026-01-14T22:58:42.623Z,Did not complete full shift
216,216,38,approved,2026-01-14T18:47:42.377Z,Standard approval
217,217,39,approved,2026-01-16T07:06:29.407Z,
218,218,40,approved,2026-01-13T19:35:35.372Z,Approved by manager
219,219,41,approved,2026-01-13T09:01:42.535Z,Approved by manager
220,220,42,approved,2026-01-15T00:29:35.930Z,Late arrival noted
221,221,43,rejected,2026-01-15T03:29:06.765Z,Did not complete full shift
222,222,44,approved,2026-01-11T23:13:32.501Z,
223,223,45,approved,2026-01-16T03:55:09.354Z,Approved by manager
224,224,46,approved,2026-01-14T01:15:40.859Z,Standard approval
225,225,47,approved,2026-01-13T06:24:10.156Z,Late arrival noted
226,226,48,approved,2026-01-13T13:30:46.591Z,Approved by manager
227,227,49,approved,2026-01-14T10:41:37.016Z,Late arrival noted
228,228,50,approved,2026-01-12T11:10:00.893Z,Late arrival noted
229,229,51,approved,2026-01-15T16:28:07.935Z,
230,230,52,approved,2026-01-14T09:09:24.413Z,Standard approval
231,231,53,approved,2026-01-14T16:53:57.358Z,Late arrival noted
232,232,55,approved,2026-01-13T22:52:53.932Z,Standard approval
233,233,56,approved,2026-01-16T13:53:46.111Z,Excellent performance
234,234,57,approved,2026-01-12T11:03:56.799Z,
235,235,58,approved,2026-01-15T23:56:41.751Z,Excellent performance
236,236,59,approved,2026-01-11T20:42:22.770Z,Late arrival noted
237,237,60,approved,2026-01-13T12:54:28.498Z,
238,238,61,approved,2026-01-15T23:34:17.964Z,Late arrival noted
239,239,62,approved,2026-01-13T10:37:59.919Z,Late arrival noted
240,240,64,approved,2026-01-16T15:44:04.209Z,Excellent performance
241,241,65,approved,2026-01-15T04:23:19.703Z,Excellent performance
242,242,66,approved,2026-01-14T02:57:02.376Z,
243,243,67,approved,2026-01-13T06:04:01.712Z,Approved by manager
244,244,68,approved,2026-01-14T02:22:16.779Z,Excellent performance
245,245,69,pending,,
246,246,70,approved,2026-01-13T16:50:07.038Z,
247,247,71,approved,2026-01-16T03:31:28.194Z,Approved by manager
248,248,72,approved,2026-01-13T01:20:32.208Z,
249,249,73,approved,2026-01-13T04:06:58.899Z,
250,250,74,approved,2026-01-12T08:23:05.572Z,
251,251,75,rejected,2026-01-14T10:21:08.543Z,Did not complete full shift
252,252,77,approved,2026-01-15T19:09:57.702Z,Approved by manager
253,253,78,approved,2026-01-13T20:08:20.092Z,Excellent performance
254,254,79,approved,2026-01-14T21:49:24.777Z,Standard approval
255,255,80,pending,,
256,256,81,approved,2026-01-12T10:56:13.759Z,Approved by manager
257,257,82,approved,2026-01-12T06:30:40.889Z,Excellent performance
258,258,83,approved,2026-01-15T08:02:32.448Z,
259,259,84,approved,2026-01-16T09:32:49.330Z,Standard approval
260,260,85,approved,2026-01-15T15:31:28.070Z,
261,261,86,approved,2026-01-15T18:39:49.521Z,Excellent performance
262,262,87,approved,2026-01-13T05:10:59.501Z,
263,263,89,approved,2026-01-13T09:18:58.399Z,Approved by manager
264,264,90,approved,2026-01-16T00:58:00.578Z,
265,265,91,approved,2026-01-13T06:07:31.438Z,Standard approval
266,266,92,approved,2026-01-12T02:10:09.686Z,Approved by manager
267,267,93,approved,2026-01-14T22:35:07.734Z,Late arrival noted
268,268,94,pending,,
269,269,95,approved,2026-01-12T20:45:17.769Z,
270,270,96,approved,2026-01-14T10:38:28.575Z,
271,271,97,approved,2026-01-14T22:50:27.334Z,Standard approval
272,272,98,rejected,2026-01-13T22:00:15.373Z,Did not complete full shift
273,273,99,pending,,
274,274,100,approved,2026-01-12T08:45:14.178Z,Late arrival noted
275,275,101,approved,2026-01-12T19:46:42.450Z,Approved by manager
276,276,102,approved,2026-01-16T11:50:25.337Z,
277,277,103,approved,2026-01-12T16:29:21.341Z,
278,278,104,approved,2026-01-14T23:04:43.989Z,Standard approval
279,279,105,rejected,2026-01-14T17:18:06.542Z,Did not complete full shift
280,280,106,approved,2026-01-13T00:23:33.989Z,
281,281,107,approved,2026-01-13T17:55:20.687Z,Late arrival noted
282,282,108,approved,2026-01-12T23:55:52.842Z,Late arrival noted
283,283,7,approved,2026-01-16T09:22:18.448Z,Standard approval
284,284,8,approved,2026-01-13T13:25:50.526Z,Late arrival noted
285,285,9,approved,2026-01-14T20:18:14.405Z,
286,286,10,approved,2026-01-12T13:44:07.144Z,Standard approval
287,287,11,pending,,
288,288,14,approved,2026-01-12T12:50:27.750Z,Standard approval
289,289,16,approved,2026-01-12T20:00:27.355Z,Late arrival noted
290,290,17,approved,2026-01-16T01:59:58.200Z,Late arrival noted
291,291,18,approved,2026-01-15T02:04:08.692Z,
292,292,20,approved,2026-01-16T14:26:25.592Z,Late arrival noted
293,293,21,approved,2026-01-16T02:07:29.862Z,Approved by manager
294,294,22,approved,2026-01-15T18:09:13.495Z,
295,295,23,rejected,2026-01-14T03:14:42.339Z,Did not complete full shift
296,296,24,approved,2026-01-13T16:38:33.695Z,Late arrival noted
297,297,25,approved,2026-01-13T15:45:12.251Z,
298,298,26,approved,2026-01-16T02:23:15.320Z,Approved by manager
299,299,27,approved,2026-01-14T18:32:17.489Z,
300,300,28,approved,2026-01-13T05:15:29.045Z,Late arrival noted
301,301,29,approved,2026-01-14T13:49:12.951Z,Standard approval
302,302,30,pending,,
303,303,31,approved,2026-01-12T10:40:17.656Z,Excellent performance
304,304,32,approved,2026-01-14T08:39:43.071Z,
305,305,33,approved,2026-01-16T01:32:12.594Z,
306,306,34,approved,2026-01-15T22:18:22.072Z,Approved by manager
307,307,35,approved,2026-01-14T03:46:21.605Z,
308,308,36,approved,2026-01-14T06:21:22.121Z,Standard approval
309,309,37,rejected,2026-01-15T16:01:09.465Z,Did not complete full shift
310,310,38,pending,,
311,311,39,approved,2026-01-13T15:31:05.590Z,Approved by manager
312,312,40,approved,2026-01-15T07:35:17.399Z,Excellent performance
313,313,41,approved,2026-01-13T00:43:18.048Z,
314,314,42,approved,2026-01-14T02:27:56.883Z,
315,315,43,pending,,
316,316,44,approved,2026-01-16T08:12:54.521Z,Excellent performance
317,317,45,approved,2026-01-14T20:26:24.503Z,Late arrival noted
318,318,46,pending,,
319,319,47,approved,2026-01-14T06:54:58.973Z,
320,320,48,approved,2026-01-16T01:33:38.173Z,Late arrival noted
321,321,49,approved,2026-01-15T10:56:06.579Z,Late arrival noted
322,322,50,approved,2026-01-15T16:45:05.944Z,Approved by manager
323,323,51,approved,2026-01-13T21:39:06.951Z,
324,324,52,approved,2026-01-16T11:09:39.542Z,
325,325,53,approved,2026-01-16T07:23:09.856Z,Excellent performance
326,326,55,approved,2026-01-14T18:45:01.924Z,Standard approval
327,327,56,approved,2026-01-14T14:33:44.189Z,Late arrival noted
328,328,57,approved,2026-01-13T00:40:53.827Z,
329,329,58,approved,2026-01-13T10:08:34.864Z,
330,330,59,pending,,
331,331,60,approved,2026-01-16T04:06:36.648Z,
332,332,61,approved,2026-01-11T23:30:33.376Z,Standard approval
333,333,62,approved,2026-01-14T01:42:40.339Z,Excellent performance
334,334,64,pending,,
335,335,65,approved,2026-01-14T08:42:57.986Z,Late arrival noted
336,336,66,approved,2026-01-15T21:07:26.788Z,
337,337,67,approved,2026-01-13T10:03:12.650Z,
338,338,68,pending,,
339,339,69,pending,,
340,340,70,approved,2026-01-13T03:27:32.519Z,
341,341,71,approved,2026-01-15T23:35:19.767Z,Standard approval
342,342,72,approved,2026-01-13T23:40:12.015Z,
343,343,73,approved,2026-01-15T15:19:32.253Z,
344,344,74,approved,2026-01-14T10:30:37.219Z,Excellent performance
345,345,75,approved,2026-01-15T12:33:07.170Z,Excellent performance
346,346,77,approved,2026-01-14T07:14:20.529Z,Approved by manager
347,347,78,approved,2026-01-12T21:06:00.006Z,Late arrival noted
348,348,79,rejected,2026-01-15T12:13:35.839Z,Did not complete full shift
349,349,80,pending,,
350,350,81,pending,,
351,351,82,approved,2026-01-13T03:16:15.965Z,
352,352,83,pending,,
353,353,84,approved,2026-01-16T02:02:51.589Z,Excellent performance
354,354,85,approved,2026-01-16T09:44:00.263Z,Standard approval
355,355,86,approved,2026-01-14T10:04:01.885Z,
356,356,87,approved,2026-01-15T05:13:27.196Z,Standard approval
357,357,89,approved,2026-01-14T22:47:20.475Z,
358,358,90,approved,2026-01-14T14:58:59.882Z,Excellent performance
359,359,91,approved,2026-01-14T23:18:08.387Z,
360,360,92,approved,2026-01-12T13:05:56.497Z,
361,361,93,pending,,
362,362,94,approved,2026-01-13T01:06:19.480Z,
363,363,95,approved,2026-01-16T01:02:16.415Z,Excellent performance
364,364,96,approved,2026-01-15T20:00:00.372Z,
365,365,97,pending,,
366,366,98,approved,2026-01-16T18:18:56.099Z,Approved by manager
367,367,99,pending,,
368,368,100,approved,2026-01-13T07:04:40.334Z,
369,369,101,approved,2026-01-12T10:32:28.820Z,
370,370,102,approved,2026-01-15T00:36:57.205Z,
371,371,103,approved,2026-01-14T10:46:28.750Z,
372,372,104,approved,2026-01-13T02:58:49.395Z,Approved by manager
373,373,105,approved,2026-01-13T09:56:29.547Z,
374,374,106,approved,2026-01-12T12:10:05.136Z,Standard approval
375,375,107,approved,2026-01-15T21:02:53.846Z,Late arrival noted
376,376,108,approved,2026-01-13T04:22:19.444Z,
377,377,7,approved,2026-01-16T08:20:37.354Z,Approved by manager
378,378,8,approved,2026-01-13T20:02:30.420Z,Standard approval
379,379,9,approved,2026-01-12T05:24:02.429Z,
380,380,10,approved,2026-01-14T21:53:35.362Z,
381,381,11,approved,2026-01-14T05:22:12.110Z,Excellent performance
382,382,14,approved,2026-01-14T17:55:52.838Z,Late arrival noted
383,383,16,approved,2026-01-16T03:15:32.666Z,Excellent performance
384,384,17,approved,2026-01-14T22:26:34.351Z,
385,385,18,pending,,
386,386,20,approved,2026-01-12T12:44:03.182Z,Late arrival noted
387,387,21,approved,2026-01-13T06:28:02.217Z,Standard approval
388,388,22,rejected,2026-01-16T16:28:43.827Z,Did not complete full shift
389,389,23,approved,2026-01-14T10:52:41.136Z,Late arrival noted
390,390,24,approved,2026-01-13T20:16:08.112Z,
391,391,25,approved,2026-01-14T10:27:19.122Z,Standard approval
392,392,26,approved,2026-01-16T17:49:02.193Z,Excellent performance
393,393,27,approved,2026-01-12T01:48:50.623Z,
394,394,28,approved,2026-01-14T04:55:22.595Z,
395,395,29,approved,2026-01-13T17:36:47.755Z,Late arrival noted
396,396,30,approved,2026-01-11T22:16:59.930Z,Approved by manager
397,397,31,approved,2026-01-12T15:28:10.765Z,Excellent performance
398,398,32,approved,2026-01-16T17:27:16.428Z,
399,399,33,approved,2026-01-15T12:34:55.196Z,Late arrival noted
400,400,34,approved,2026-01-13T15:36:50.639Z,
401,401,35,approved,2026-01-11T19:59:30.808Z,Excellent performance
402,402,36,approved,2026-01-11T18:49:22.115Z,
403,403,37,approved,2026-01-15T15:16:17.255Z,
404,404,38,approved,2026-01-14T11:28:19.239Z,
405,405,39,approved,2026-01-16T06:07:03.161Z,
406,406,40,approved,2026-01-16T13:44:17.537Z,Late arrival noted
407,407,41,approved,2026-01-12T20:41:23.855Z,Approved by manager
408,408,42,approved,2026-01-13T04:31:04.297Z,
409,409,43,pending,,
410,410,44,approved,2026-01-13T09:58:31.364Z,
411,411,45,approved,2026-01-13T09:20:40.052Z,Excellent performance
412,412,46,approved,2026-01-16T16:32:01.962Z,
413,413,47,approved,2026-01-12T12:19:40.193Z,Late arrival noted
414,414,48,approved,2026-01-12T21:28:48.929Z,
415,415,49,approved,2026-01-12T19:32:31.953Z,Late arrival noted
416,416,50,pending,,
417,417,51,approved,2026-01-12T18:15:52.675Z,Excellent performance
418,418,52,approved,2026-01-14T15:48:20.970Z,Standard approval
419,419,53,approved,2026-01-15T06:18:24.671Z,
420,420,55,approved,2026-01-11T22:51:12.161Z,
421,421,56,approved,2026-01-15T01:05:28.052Z,Late arrival noted
422,422,57,pending,,
423,423,58,approved,2026-01-13T09:12:49.894Z,
424,424,59,approved,2026-01-16T08:54:13.403Z,Late arrival noted
425,425,60,approved,2026-01-13T05:52:37.522Z,Late arrival noted
426,426,61,approved,2026-01-15T15:09:59.522Z,
427,427,62,approved,2026-01-11T18:57:59.938Z,
428,428,64,approved,2026-01-15T14:41:02.634Z,Late arrival noted
429,429,65,rejected,2026-01-15T15:19:30.742Z,Did not complete full shift
430,430,66,approved,2026-01-14T00:54:20.754Z,
431,431,67,approved,2026-01-14T05:54:08.968Z,
432,432,68,approved,2026-01-15T21:36:46.700Z,Approved by manager
433,433,69,approved,2026-01-16T04:56:47.473Z,
434,434,70,pending,,
435,435,71,approved,2026-01-15T14:15:30.889Z,Standard approval
436,436,72,approved,2026-01-15T01:15:25.288Z,Late arrival noted
437,437,73,approved,2026-01-13T12:43:43.738Z,
438,438,74,approved,2026-01-15T11:24:36.277Z,Standard approval
439,439,75,approved,2026-01-15T12:28:20.819Z,
440,440,77,approved,2026-01-12T18:26:53.071Z,Approved by manager
441,441,78,approved,2026-01-11T20:45:41.774Z,Approved by manager
442,442,79,approved,2026-01-14T18:02:21.782Z,
443,443,80,approved,2026-01-12T23:13:46.051Z,
444,444,81,rejected,2026-01-16T00:55:32.020Z,Did not complete full shift
445,445,82,approved,2026-01-14T23:51:37.287Z,
446,446,83,approved,2026-01-12T23:33:24.799Z,
447,447,84,approved,2026-01-12T10:50:18.393Z,Excellent performance
448,448,85,approved,2026-01-14T06:11:43.921Z,Excellent performance
449,449,86,pending,,
450,450,87,approved,2026-01-15T06:28:37.275Z,
451,451,89,approved,2026-01-14T12:25:56.833Z,Approved by manager
452,452,90,approved,2026-01-13T11:25:44.244Z,
453,453,91,approved,2026-01-16T02:32:41.934Z,Approved by manager
454,454,92,approved,2026-01-13T12:36:47.621Z,
455,455,93,approved,2026-01-14T19:18:04.888Z,Approved by manager
456,456,94,approved,2026-01-13T03:30:19.735Z,Standard approval
457,457,95,pending,,
458,458,96,approved,2026-01-15T03:24:19.312Z,Standard approval
459,459,97,approved,2026-01-16T02:44:15.970Z,Late arrival noted
460,460,98,approved,2026-01-13T07:37:29.242Z,
461,461,99,pending,,
462,462,100,approved,2026-01-14T18:30:04.784Z,Excellent performance
463,463,101,approved,2026-01-11T19:41:06.572Z,Standard approval
464,464,102,approved,2026-01-13T19:09:46.579Z,Standard approval
465,465,103,approved,2026-01-13T03:32:54.150Z,Excellent performance
466,466,104,approved,2026-01-16T10:15:29.588Z,Approved by manager
467,467,105,approved,2026-01-13T22:43:29.522Z,Standard approval
468,468,106,approved,2026-01-12T09:06:22.022Z,Late arrival noted
469,469,107,approved,2026-01-12T14:11:34.883Z,Excellent performance
470,470,108,approved,2026-01-15T18:05:49.543Z,Late arrival noted
471,471,7,approved,2026-01-16T03:42:54.925Z,Late arrival noted
472,472,8,approved,2026-01-16T13:04:13.701Z,Excellent performance
473,473,9,approved,2026-01-15T03:39:25.559Z,Late arrival noted
474,474,10,approved,2026-01-11T20:35:23.542Z,
