id,employee_id,submitted_by_employee_id,shift_id,feedback_text,rating,created_at
90,72,61,60,Needs improvement on punctuality,4,2026-01-14T17:52:34.498Z
91,64,90,240,Positive attitude throughout the shift,4,2025-12-22T08:00:59.261Z
92,41,69,407,Arrived on time and ready to work,4,2025-12-06T18:37:12.094Z
93,23,31,107,Excellent customer service,4,2025-12-02T21:20:46.471Z
94,45,70,129,Could improve communication,3,2025-12-06T18:43:54.492Z
95,107,26,93,Needs improvement on punctuality,4,2025-12-31T21:52:11.570Z
96,40,44,406,Helped cover extra duties,5,2025-12-06T14:33:13.191Z
97,61,49,144,Could improve communication,4,2025-12-03T04:41:55.019Z
98,22,18,12,Excellent customer service,3,2025-12-15T17:12:39.245Z
99,79,86,254,Good collaboration with team members,3,2026-01-16T03:28:36.382Z
100,81,92,256,Helped cover extra duties,3,2025-12-26T12:53:41.930Z
101,35,66,307,Positive attitude throughout the shift,4,2025-12-25T19:41:48.187Z
102,31,79,491,Could improve communication,5,2026-01-01T14:47:00.085Z
103,53,25,419,Needs improvement on punctuality,4,2025-12-21T05:02:24.077Z
104,87,96,74,Very reliable and dependable,4,2026-01-09T19:19:40.876Z
105,92,97,454,Very reliable and dependable,5,2026-01-05T05:43:31.966Z
106,61,99,144,Could improve communication,3,2025-12-21T02:36:27.639Z
107,73,7,343,Needs improvement on punctuality,3,2025-12-22T22:50:53.794Z
108,95,80,457,Arrived on time and ready to work,4,2025-12-29T08:43:17.653Z
109,75,79,345,Arrived on time and ready to work,4,2025-12-21T15:06:35.459Z
110,60,98,237,Positive attitude throughout the shift,3,2025-12-11T20:45:30.662Z
111,22,11,200,Arrived on time and ready to work,5,2025-12-19T21:49:09.220Z
112,55,49,138,Arrived on time and ready to work,4,2025-12-05T06:33:18.258Z
113,42,52,408,Very reliable and dependable,5,2025-12-03T02:23:33.784Z
114,30,104,20,Good collaboration with team members,5,2026-01-03T06:52:21.654Z
115,41,69,313,Could improve communication,4,2025-12-31T01:51:57.910Z
116,48,73,38,Positive attitude throughout the shift,3,2025-12-30T02:48:43.727Z
117,30,48,20,Excellent customer service,5,2025-12-27T23:18:24.401Z
118,64,91,146,Good collaboration with team members,5,2026-01-04T11:18:31.749Z
119,92,31,360,Very reliable and dependable,5,2025-12-04T20:12:59.100Z
120,73,69,155,Great teamwork today!,4,2026-01-05T10:50:24.945Z
121,60,45,425,Needs improvement on punctuality,3,2025-12-17T05:17:05.328Z
122,7,85,1,Outstanding performance today,5,2025-12-21T23:29:43.130Z
123,95,30,457,Very reliable and dependable,5,2025-12-14T17:03:10.363Z
124,69,99,433,Helped cover extra duties,3,2026-01-02T16:41:25.850Z
125,60,107,49,Helped cover extra duties,5,2025-12-07T05:32:37.842Z
126,73,27,61,Helped cover extra duties,3,2025-12-03T08:07:09.335Z
127,56,4,139,Great teamwork today!,5,2025-12-29T15:59:15.229Z
128,101,58,87,Needs improvement on punctuality,5,2025-12-15T10:16:52.602Z
129,74,66,344,Very reliable and dependable,4,2026-01-12T06:01:48.042Z
130,52,60,230,Could improve communication,5,2025-12-23T07:35:45.761Z
131,35,42,25,Very reliable and dependable,3,2025-12-07T01:14:50.861Z
132,56,4,139,Good collaboration with team members,5,2026-01-04T14:00:48.054Z
133,61,102,332,Outstanding performance today,4,2025-12-04T06:04:49.982Z
134,50,7,322,Very reliable and dependable,3,2025-12-25T18:38:27.592Z
135,83,91,352,Arrived on time and ready to work,4,2026-01-09T03:13:29.998Z
136,55,60,232,Positive attitude throughout the shift,3,2025-12-31T08:14:39.866Z
137,41,16,313,Helped cover extra duties,5,2025-12-28T08:04:28.152Z
138,77,30,252,Could improve communication,5,2025-12-08T21:13:47.505Z
139,83,23,164,Positive attitude throughout the shift,5,2025-12-18T05:15:30.707Z
140,100,104,368,Arrived on time and ready to work,3,2026-01-07T14:50:03.973Z
141,65,46,147,Very reliable and dependable,4,2025-12-15T01:21:03.654Z
142,58,89,47,Arrived on time and ready to work,3,2026-01-03T21:48:03.677Z
143,18,5,291,Excellent customer service,4,2025-12-13T02:30:02.837Z
144,21,43,481,Excellent customer service,3,2025-12-05T21:55:31.322Z
145,33,4,399,Helped cover extra duties,4,2026-01-05T23:44:16.165Z
146,72,34,154,Very reliable and dependable,5,2025-12-17T19:26:21.971Z
147,66,47,242,Arrived on time and ready to work,3,2025-12-25T05:47:40.499Z
148,24,18,202,Helped cover extra duties,4,2026-01-04T19:27:17.314Z
149,25,27,109,Positive attitude throughout the shift,3,2026-01-07T11:57:45.684Z
150,36,50,120,Could improve communication,4,2025-12-22T16:53:32.051Z
