id,employee_id,training_checklist,status,created_at,completed_at
17,23,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2024-08-05T15:36:03.320Z,2024-09-04T00:00:00.000Z
18,24,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2024-11-23T08:22:36.899Z,2024-12-23T00:00:00.000Z
19,25,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-11-17T23:17:38.660Z,2025-12-17T00:00:00.000Z
20,26,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-08-05T22:01:22.973Z,2025-09-04T00:00:00.000Z
21,27,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2025-06-16T00:30:37.000Z,2025-07-16T00:00:00.000Z
22,28,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2024-12-30T09:21:52.407Z,2025-01-29T00:00:00.000Z
23,29,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-01-24T22:56:25.196Z,2025-02-23T00:00:00.000Z
24,30,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2025-01-07T21:47:19.101Z,2025-02-06T00:00:00.000Z
25,31,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2024-06-27T02:29:54.355Z,2024-07-27T00:00:00.000Z
26,32,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-08-08T04:56:26.175Z,2025-09-07T00:00:00.000Z
27,33,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",in_progress,2025-12-21T17:57:50.522Z,
28,34,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-01-25T21:32:13.774Z,2025-02-24T00:00:00.000Z
29,35,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2024-12-30T06:34:23.423Z,2025-01-29T00:00:00.000Z
30,36,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-05-31T19:38:19.999Z,2024-06-30T00:00:00.000Z
31,37,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-12-02T21:56:07.156Z,2025-01-01T00:00:00.000Z
32,38,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2024-05-05T15:01:13.981Z,2024-06-04T00:00:00.000Z
33,39,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-05-01T06:28:15.436Z,2025-05-31T00:00:00.000Z
34,40,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2025-03-08T08:53:25.641Z,2025-04-07T00:00:00.000Z
35,41,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-12-14T22:53:17.104Z,2025-01-13T00:00:00.000Z
36,42,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-08-23T22:26:30.123Z,2025-09-22T00:00:00.000Z
37,43,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2024-09-10T09:37:39.639Z,2024-10-10T00:00:00.000Z
38,44,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2024-07-27T11:52:00.320Z,2024-08-26T00:00:00.000Z
39,45,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-04-17T06:24:11.520Z,2025-05-17T00:00:00.000Z
40,46,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-06-10T00:50:45.837Z,2025-07-10T00:00:00.000Z
41,47,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2024-05-10T11:23:22.019Z,2024-06-09T00:00:00.000Z
42,48,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",in_progress,2025-12-19T21:36:24.989Z,
43,49,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-02-11T11:59:40.708Z,2025-03-13T00:00:00.000Z
44,50,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2024-03-16T04:55:29.712Z,2024-04-15T00:00:00.000Z
45,51,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2025-07-30T13:11:11.773Z,2025-08-29T00:00:00.000Z
46,52,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-05-28T14:32:10.678Z,2024-06-27T00:00:00.000Z
47,53,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-05-21T06:53:11.820Z,2025-06-20T00:00:00.000Z
48,54,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2025-08-06T13:06:20.151Z,2025-09-05T00:00:00.000Z
49,55,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-04-13T03:36:07.955Z,2024-05-13T00:00:00.000Z
50,56,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-09-24T01:52:55.744Z,2025-10-24T00:00:00.000Z
51,57,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-01-17T21:25:39.886Z,2024-02-16T00:00:00.000Z
52,58,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-12-07T09:42:10.877Z,2026-01-06T00:00:00.000Z
53,59,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2025-07-05T12:18:22.779Z,2025-08-04T00:00:00.000Z
54,60,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-11-07T17:17:42.839Z,2025-12-07T00:00:00.000Z
55,61,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2024-08-07T04:23:49.940Z,2024-09-06T00:00:00.000Z
56,62,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2025-07-08T05:37:04.855Z,2025-08-07T00:00:00.000Z
57,63,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2024-06-18T23:07:32.879Z,2024-07-18T00:00:00.000Z
58,64,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-05-05T17:39:29.603Z,2025-06-04T00:00:00.000Z
59,65,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2024-10-18T08:52:17.278Z,2024-11-17T00:00:00.000Z
60,66,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2025-03-19T05:19:53.852Z,2025-04-18T00:00:00.000Z
61,67,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-11-03T23:48:25.486Z,2025-12-03T00:00:00.000Z
62,68,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-01-14T01:05:20.449Z,2025-02-13T00:00:00.000Z
63,69,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2025-12-13T04:34:12.189Z,2026-01-12T00:00:00.000Z
64,70,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-11-18T07:29:28.865Z,2025-12-18T00:00:00.000Z
65,71,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2024-11-14T12:07:22.558Z,2024-12-14T00:00:00.000Z
66,72,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-06-01T10:39:29.270Z,2025-07-01T00:00:00.000Z
67,73,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-09-13T11:23:38.223Z,2025-10-13T00:00:00.000Z
68,74,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",in_progress,2026-01-01T15:38:23.730Z,
69,75,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-11-23T10:43:41.156Z,2024-12-23T00:00:00.000Z
70,76,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2024-10-01T08:30:35.794Z,2024-10-31T00:00:00.000Z
71,77,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2024-07-03T01:43:58.272Z,2024-08-02T00:00:00.000Z
72,78,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-08-22T14:15:20.547Z,2024-09-21T00:00:00.000Z
73,79,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-06-19T13:39:16.639Z,2025-07-19T00:00:00.000Z
74,80,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-05-27T21:58:32.418Z,2025-06-26T00:00:00.000Z
75,81,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2024-06-21T09:32:50.198Z,2024-07-21T00:00:00.000Z
76,82,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-12-24T22:36:08.392Z,2025-01-23T00:00:00.000Z
77,83,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2025-11-14T14:10:20.407Z,2025-12-14T00:00:00.000Z
78,84,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-03-12T08:02:08.224Z,2025-04-11T00:00:00.000Z
79,85,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-10-17T02:58:51.745Z,2024-11-16T00:00:00.000Z
80,86,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-07-09T23:24:57.861Z,2024-08-08T00:00:00.000Z
81,87,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-03-13T05:31:43.486Z,2025-04-12T00:00:00.000Z
82,88,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2024-12-29T19:00:02.714Z,2025-01-28T00:00:00.000Z
83,89,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-08-21T22:28:11.561Z,2024-09-20T00:00:00.000Z
84,90,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-10-22T05:46:01.203Z,2024-11-21T00:00:00.000Z
85,91,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2024-04-05T16:49:17.378Z,2024-05-05T00:00:00.000Z
86,92,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-08-08T09:33:12.347Z,2025-09-07T00:00:00.000Z
87,93,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-10-11T15:29:03.153Z,2025-11-10T00:00:00.000Z
88,94,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-08-31T19:22:36.981Z,2025-09-30T00:00:00.000Z
89,95,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-12-01T18:55:47.237Z,2024-12-31T00:00:00.000Z
90,96,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",in_progress,2025-12-21T00:45:39.563Z,
91,97,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2025-01-23T16:32:08.150Z,2025-02-22T00:00:00.000Z
92,98,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-07-30T15:53:04.636Z,2024-08-29T00:00:00.000Z
93,99,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-11-11T01:26:22.038Z,2024-12-11T00:00:00.000Z
94,100,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2024-03-07T01:33:14.322Z,2024-04-06T00:00:00.000Z
95,101,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-06-12T06:10:45.385Z,2025-07-12T00:00:00.000Z
96,102,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",in_progress,2026-01-11T23:31:23.623Z,
97,103,"{""tasks"": [""Complete HR paperwork"", ""Set up workstation"", ""IT systems training"", ""Meet team members"", ""Safety training"", ""Review company policies""]}",completed,2025-05-23T08:00:31.608Z,2025-06-22T00:00:00.000Z
98,104,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-12-08T01:14:36.376Z,2025-01-07T00:00:00.000Z
99,105,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2024-01-26T22:44:24.931Z,2024-02-25T00:00:00.000Z
100,106,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-08-16T17:38:20.597Z,2025-09-15T00:00:00.000Z
101,107,"{""tasks"": [""Employee handbook review"", ""Benefits enrollment"", ""Emergency contacts"", ""Direct deposit setup"", ""Training modules 1-3"", ""Manager 1-on-1""]}",completed,2025-11-21T13:14:57.692Z,2025-12-21T00:00:00.000Z
102,108,"{""tasks"": [""Submit tax forms"", ""Get security badge"", ""Complete orientation"", ""Shadow experienced employee"", ""Learn internal tools"", ""First week check-in""]}",completed,2024-08-28T18:02:34.796Z,2024-09-27T00:00:00.000Z
